Action,Trial,AF3,AF4,F3,F4,F7,F8,FC5,FC6,O1,O2,P7,P8,T7,T8,
(Action),(Trial),7961,8727,8191,8710,9094,8606,8516,8941,7433,9005,7898,8253,9275,8840,
(Action),(Trial),7962,8725,8195,8709,9094,8606,8516,8940,7438,9009,7899,8253,9258,8840,
(Action),(Trial),7961,8722,8194,8690,9094,8594,8514,8940,7438,9009,7900,8253,9284,8840,
(Action),(Trial),7961,8718,8191,8694,9094,8602,8525,8940,7437,9009,7900,8254,9271,8840,
(Action),(Trial),7961,8729,8192,8700,9094,8607,8525,8941,7439,9009,7900,8255,9265,8840,
(Action),(Trial),7961,8731,8192,8703,9094,8606,8526,8939,7436,9009,7900,8239,9277,8840,
(Action),(Trial),7961,8729,8192,8702,9094,8608,8525,8935,7439,9008,7900,8254,9263,8840,
(Action),(Trial),7961,8728,8192,8699,9094,8607,8524,8925,7436,9010,7900,8247,9276,8840,
(Action),(Trial),7961,8730,8192,8702,9094,8609,8525,8925,7439,9018,7900,8254,9263,8840,
(Action),(Trial),7961,8727,8192,8700,9094,8609,8525,8928,7427,9022,7901,8251,9265,8840,
(Action),(Trial),7961,8731,8192,8700,9094,8608,8525,8937,7428,9017,7896,8253,9270,8840,
(Action),(Trial),7961,8732,8192,8704,9094,8609,8525,8934,7433,9015,7900,8253,9269,8840,
(Action),(Trial),7961,8729,8192,8712,9094,8606,8526,8936,7422,9017,7898,8253,9269,8840,
(Action),(Trial),7961,8731,8192,8720,9094,8606,8516,8937,7442,9018,7899,8253,9266,8840,
(Action),(Trial),7961,8735,8192,8723,9094,8611,8516,8937,7437,9017,7898,8253,9265,8840,
(Action),(Trial),7961,8731,8192,8721,9094,8606,8514,8937,7439,9016,7898,8253,9266,8840,
(Action),(Trial),7961,8735,8192,8723,9094,8611,8523,8937,7420,9019,7898,8253,9265,8840,
(Action),(Trial),7961,8733,8192,8722,9094,8610,8523,8937,7423,9003,7898,8253,9265,8840,
(Action),(Trial),7961,8735,8192,8722,9094,8610,8522,8937,7431,9010,7898,8253,9265,8840,
(Action),(Trial),7961,8737,8195,8722,9094,8611,8513,8937,7431,9006,7898,8253,9265,8840,
(Action),(Trial),7961,8736,8195,8722,9094,8607,8515,8937,7415,9008,7898,8253,9264,8840,
(Action),(Trial),7961,8730,8195,8723,9094,8609,8518,8937,7435,9004,7898,8253,9265,8840,
(Action),(Trial),7961,8728,8195,8721,9094,8609,8514,8937,7422,9028,7898,8253,9265,8840,
(Action),(Trial),7961,8727,8195,8719,9094,8610,8517,8937,7436,9002,7898,8253,9267,8840,
(Action),(Trial),7961,8729,8195,8711,9094,8608,8516,8937,7422,9010,7898,8253,9268,8841,
(Action),(Trial),7961,8730,8193,8712,9094,8605,8516,8938,7423,9006,7898,8253,9269,8841,
(Action),(Trial),7961,8731,8192,8717,9094,8606,8516,8936,7415,9006,7899,8253,9269,8846,
(Action),(Trial),7961,8727,8192,8717,9094,8611,8516,8936,7425,9008,7898,8253,9270,8842,
(Action),(Trial),7961,8730,8192,8714,9094,8607,8516,8923,7438,9008,7899,8250,9265,8841,
(Action),(Trial),7963,8730,8192,8703,9095,8605,8514,8925,7429,9008,7897,8249,9267,8846,
(Action),(Trial),7959,8730,8192,8702,9095,8608,8529,8941,7439,9008,7902,8252,9263,8846,
(Action),(Trial),7955,8731,8192,8698,9094,8607,8519,8908,7420,9002,7902,8246,9308,8849,
(Action),(Trial),7944,8713,8192,8700,9090,8595,8553,8946,7438,9001,7916,8243,9264,8830,
(Action),(Trial),7967,8723,8192,8705,9089,8599,8520,8927,7433,9001,7900,8229,9290,8830,
(Action),(Trial),7952,8725,8193,8705,9090,8599,8525,8917,7420,8999,7902,8255,9292,8826,
(Action),(Trial),7940,8708,8188,8695,9062,8592,8519,8943,7410,8993,7907,8246,9304,8829,
(Action),(Trial),7927,8721,8164,8695,9062,8591,8529,8913,7414,8995,7897,8223,9293,8830,
(Action),(Trial),7940,8733,8161,8694,9059,8609,8513,8910,7428,9014,7907,8254,9297,8852,
(Action),(Trial),7994,8725,8201,8713,9106,8606,8523,8937,7442,9035,7904,8253,9260,8847,
(Action),(Trial),7965,8742,8192,8707,9098,8615,8514,8927,7445,9021,7902,8253,9282,8836,
(Action),(Trial),7945,8726,8196,8698,9094,8608,8529,8923,7415,8999,7898,8251,9292,8824,
(Action),(Trial),7958,8720,8193,8700,9089,8600,8523,8933,7420,8999,7897,8244,9291,8828,
(Action),(Trial),7954,8726,8194,8696,9089,8604,8524,8920,7413,9001,7900,8252,9292,8821,
(Action),(Trial),7964,8721,8220,8699,9091,8595,8526,8934,7413,9000,7904,8232,9296,8846,
(Action),(Trial),7964,8716,8222,8704,9094,8605,8527,8940,7418,8997,7901,8244,9267,8839,
(Action),(Trial),7988,8729,8226,8710,9098,8605,8517,8922,7425,9005,7899,8253,9268,8844,
(Action),(Trial),7975,8744,8187,8701,9090,8612,8523,8923,7443,8970,7900,8251,9262,8854,
(Action),(Trial),7971,8861,8189,8611,9093,8673,8511,8802,7445,9019,7899,8261,9262,8845,
(Action),(Trial),8000,8851,8199,8646,9095,8675,8515,8839,7449,9001,7897,8254,9262,8805,
(Action),(Trial),8030,8791,8225,8668,9092,8644,8524,8871,7448,9012,7926,8254,9273,8822,
(Action),(Trial),7996,8772,8222,8694,9095,8624,8524,8898,7435,9007,7927,8253,9289,8824,
(Action),(Trial),8001,8764,8224,8690,9097,8633,8512,8895,7443,9028,7934,8253,9286,8828,
(Action),(Trial),7991,8773,8223,8687,9112,8629,8517,8880,7440,9002,7917,8253,9287,8819,
(Action),(Trial),7994,8722,8217,8722,9109,8603,8512,8931,7441,9014,7916,8252,9290,8827,
(Action),(Trial),7956,8712,8186,8724,9091,8588,8515,8968,7440,9035,7903,8254,9262,8823,
(Action),(Trial),7959,8685,8153,8758,9094,8580,8515,8982,7451,9060,7926,8252,9296,8825,
(Action),(Trial),7957,8633,8188,8790,9104,8545,8538,9040,7443,9066,7922,8252,9294,8797,
(Action),(Trial),7963,8477,8190,8827,9129,8488,8506,9119,7448,9030,7910,8215,9289,8934,
(Action),(Trial),7960,8744,8163,8729,9103,8617,8492,8915,7448,9011,7953,8259,9293,8803,
(Action),(Trial),7964,8740,8160,8715,9097,8604,8517,8909,7449,9031,7962,8254,9292,8904,
(Action),(Trial),7976,8738,8187,8705,9090,8612,8518,8920,7441,9030,7946,8255,9292,8833,
(Action),(Trial),7963,8732,8187,8705,9095,8608,8516,8915,7442,9033,7956,8255,9292,8845,
(Action),(Trial),7962,8725,8192,8711,9095,8606,8524,8923,7440,9028,7958,8255,9294,8840,
(Action),(Trial),7958,8729,8190,8719,9095,8608,8512,8935,7440,9032,7960,8255,9291,8844,
(Action),(Trial),7964,8726,8190,8723,9095,8608,8513,8936,7444,9017,7901,8255,9286,8833,
(Action),(Trial),7960,8724,8190,8721,9096,8608,8518,8936,7443,9000,7885,8252,9260,8823,
(Action),(Trial),7964,8729,8191,8719,9096,8608,8516,8930,7443,8988,7905,8253,9291,8809,
(Action),(Trial),7963,8709,8194,8726,9095,8594,8522,8931,7443,8957,7931,8221,9288,8850,
(Action),(Trial),7963,8714,8194,8737,9104,8588,8526,8931,7442,8940,7957,8226,9292,8847,
(Action),(Trial),7960,8712,8175,8734,9109,8604,8513,8931,7441,8993,7973,8225,9285,8848,
(Action),(Trial),7948,8712,8160,8746,9098,8602,8518,8932,7443,9002,7992,8221,9290,8856,
(Action),(Trial),7941,8721,8154,8723,9098,8605,8496,8930,7442,9022,8015,8256,9255,8851,
(Action),(Trial),7947,8726,8189,8728,9097,8603,8512,8938,7441,9030,7963,8248,9270,8851,
